Title,University,Program,Funding,Year,Recipients_Partners,Description,Category
Enhancing Human-Machine Teaming in Defence through Artificial Intelligence-Driven Collaboration,Charles Sturt University,NIPhD Program - Industry Linked,"$74,328.00",2025,Hilmax Solutions Pty Ltd,"By leveraging AI-driven collaboration frameworks, we will revolutionise the interaction between human operators and autonomous systems in defence and enhance decision-making, situational awareness, and operational efficiency and support Australia's goal of becoming a global leader in technology and defence.","Energy, Environment & Sustainability"
Physics-informed Deep Reinforcement learning towards Sustainable Mineral Process Modelling and Optimization,Deakin University,NIPhD Program - Industry Researcher,"$232,288.00",2025,Molycop,"This collaboration will develop an innovative, physics-informed deep reinforcement learning framework for modelling and optimising mineral processing. By integrating domain-specific physical principles, this framework enables accurate data-driven dynamical modelling and intelligent decision-making. It will support the mining industry’s digital transition, enhance productivity, energy efficiency, and sustainability, while reducing Australia’s emissions and strengthening global competitiveness.","Energy, Environment & Sustainability"
Stakeholders’ perspectives of strategies to embed a culturally tailored iSupport model for carers of people with dementia in community aged care services,Flinders University,NIPhD Program - Industry Linked,"$74,328.00",2025,Murray Mallee Aged Care Group,Carers from culturally and linguistically diverse (CALD) groups experience structural discrimination in the social care system where high-quality dementia skill training and support programs in their preferred language and culture are not available or accessible. We will explore stakeholders’ perspectives of strategies to embed a culturally tailored iSupport model of care in routine ethno-specific aged care services.,Health & Medical Technology
Improving care of people in mental health crisis: Co-design of an educational program to support mental health professionals' capacity to manage without police response,Western Sydney University,NIPhD Program - Industry Researcher,"$232,288.00",2025,Mental Health Commission of New South Wales,"This collaboration will critically examine the factors leading mental health professionals to call police during crises and develop innovative solutions to reduce these responses. By building capacity in the mental health workforce, the project will lower the risk of critical incidents, enhance community safety, and alleviate pressure on police services.",Health & Medical Technology
Optimising prenatal folic acid supplementation to reduce postnatal depression: an evidence-based precision approach to nutrient supplementation during pregnancy,Flinders University,NIPhD Program - Industry Linked,"$74,328.00",2025,Factors Group Australia Pty Ltd,"Postnatal depression affects over 60,000 Australian women and their children each year. We will determine if women randomised to prenatal supplements with or without Folic Acid (FA) after the first trimester alters their risk of developing postnatal depression and whether their genetic profile moderates the effect of FA on depression.",Health & Medical Technology
Creating a triple bottom line evaluation framework to support health decision makers transition appropriate services to virtual delivery models,Flinders University,NIPhD Program - Industry Researcher,"$232,288.00",2025,Healthdirect Australia,"This collaboration will develop a framework to assess the economic, social, and environmental impacts of virtual health services to support better decision-making in health systems, enabling clinically appropriate transition to low-carbon care delivery models.",Health & Medical Technology
Design and develop a secure Digital Employment Medical Passport (DEMP),University of Wollongong,NIPhD Program - Industry Researcher,"$232,288.00",2025,Sample Assist,"This research will develop a Digital Employment Medical Passport to enhance the efficiency, security, and accessibility of occupational medical assessments. This will significantly reduce costs and improve productivity for employers while providing substantial economic benefits to employees and enhance overall workforce mobility and safety.",Health & Medical Technology
Improving coastal management in NSW using the sediment compartment approach,University of Wollongong,NIPhD Program - Industry Linked,"$74,328.00",2025,"NSW Department of Climate Change, Energy, the Environment and Water Biodiversity, Conservation and Science Group","This collaboration will develop a novel approach to predict the volume, movement, and distribution of sediment along the NSW coast due to sea-level rise, extreme storms and coastal erosion. The approach will help governments manage these significant hazards through reliable Coastal Management Programs that inform coastal actions and decisions.","Energy, Environment & Sustainability"
"What is the association between health literacy and the experience of injury and illness in professional rugby league, and can it be changed?",Griffith University,NIPhD Program - Industry Researcher,"$232,288.00",2025,Titans Rugby League PTY LTD,"This collaboration will investigate how health literacy in professional rugby league players relates to their experience of injury and illness. Enhancing players’ health literacy will improve their well-being, inform health decisions, and boost both individual and team performance.",Health & Medical Technology
Diminishing the carbon emissions of mines: Green manufacturing of high performance thin bimetals for lightweight mining equipment,University of Wollongong,NIPhD Program - Industry Linked,"$74,328.00",2025,Azure Mining Technology Pty Ltd,"This collaboration is the first to use water-based nanolubricants in the manufacturing of thin bimetals for lightweight mining equipment in Australia. The resulting bimetals will protect the environment while enhancing the durability and reducing the weight of these materials, decreasing operating costs and limiting the physical strain imposed on operators.","Energy, Environment & Sustainability"
Using ocean observations from fishing vessels in the Australian tuna longline fishery to elucidate the catchability of commercially valuable fish under climate change,University of the Sunshine Coast,NIPhD Program - Industry Linked,"$74,328.00",2025,Tuna Australia,"The Australian tuna industry contributes ~$185 million to the economy annually. However, Australian fish populations are affected by the changing climate. This collaboration will use new ocean data streams from fishing vessels and regional ocean models to build ecological data products to inform industry and management authorities of the effects of environmental variability on the catchability of commercially valuable tunas.","Energy, Environment & Sustainability"
Designing Eco-Pods for Off-Grid Sustainability in Diverse Climates,Griffith University,NIPhD Program - Industry Researcher,"$232,288.00",2025,EPIC DESIGN CO PTY LTD,"This research will develop self-sufficient, off-grid eco-pods adaptable to various climates by integrating advanced building technologies and design. Supporting efforts to address Australia’s housing crisis, it will offer sustainable, energy-independent housing solutions that will reduce environmental impact and can be scaled for regional housing needs.","Energy, Environment & Sustainability"
Affordable Housing for Marginalised Communities; Development and application of an alternate funding model for social impact investing,University of Technology Sydney,NIPhD Program - Industry Researcher,"$232,288.00",2025,Global Impact Initiative,"This project will transform large-scale housing development by integrating impact investing and the UN Sustainable Development Goals into innovative funding models. It will enhance economic and housing outcomes for marginalised communities while contributing to broader discussions on social, economic, and environmental transformation through inclusive funding practices.","Energy, Environment & Sustainability"
AI-Driven Smart Transportation Optimization: EV Fleet Operation and Resilience Management,University of Technology Sydney,NIPhD Program - Industry Researcher,"$232,288.00",2025,NEC Australia Pty Ltd,"This collaboration will revolutionise Electric Vehicle fleet management by integrating AI to enhance real-time maintenance planning and operational efficiency. This will reduce emissions, improve resource utilization, deliver smarter routing to alleviate traffic congestion, enhance grid management, lower operational costs, and increase fleet reliability and resilience.","Energy, Environment & Sustainability"
Supporting Autonomous Landing Craft Operations: Situation-Aware Unmanned Surface Vehicle (USV) Navigation Through Multi-View Representation Learning,University of Technology Sydney,NIPhD Program - Industry Researcher,"$232,288.00",2025,Navantia Australia Pty Ltd.,"This project will develop a robust navigation system for unmanned surface vehicles, support the collaborative detection of objects and obstacles under varying weather and sea conditions and optimize navigation in congested waters. This will enhance Defence operations in key environments and improve transportation technologies in Australia by leveraging advanced computer vision techniques for target classification in challenging conditions.","Energy, Environment & Sustainability"
Wireless Connectivity for Autonomous Vessels,University of Technology Sydney,NIPhD Program - Industry Researcher,"$232,288.00",2025,Navantia Australia Pty Ltd.,"This research will assess the potential of fifth-generation cellular networks to support communication among autonomous vessels. The outcomes include evaluations of current telecommunications technologies, requirements for wireless connectivity in autonomous vessels, and the development of a model to explore the benefits and challenges of 5G technologies in this domain.","Energy, Environment & Sustainability"
Synthetic and Biodegradable 3D Printed Membranes for Guided Bone Tissue Regeneration,La Trobe University,NIPhD Program - Industry Linked,"$74,328.00",2025,More Group Pty Ltd,"We will develop a barrier membrane that minimizes the need for invasive medical interventions in the treatment of gum disease. This innovation aims to support the three in ten Australians affected by gum disease, improving both clinical outcomes and overall health and well-being.",Health & Medical Technology
Genetic Diversity and Coral Resilience Across Reef Environments,Macquarie University,NIPhD Program - Industry Researcher,"$232,288.00",2025,Australian Institute of Marine Science,"This collaboration will explore the impact of genetic diversity on coral resilience during restoration and natural bleaching events to identify optimal gene pools for reef restoration. It will also advance effective restoration techniques, supporting coral adaptation to climate change, and enhance Australia’s large-scale reef conservation efforts.","Energy, Environment & Sustainability"
Impacts of Autonomous and Connected Vehicles on congestion: Closed networks controlled by adaptive traffic signals,University of Technology Sydney,NIPhD Program - Industry Researcher,"$232,288.00",2025,PITT & SHERRY (OPERATIONS) PTY. LTD,"The project will investigate two-way communication between Connected Autonomous Vehicles (CAVs) and Traffic Signals (Vehicle to Infrastructure – V2I communication) on approach to closed network systems. Vehicle flow rates, approach speeds and signal green times will be optimised across multiple entry points to reduce travel times and delays across the system. Thus, combining adaptive traffic signals with V2I communications can reduce; greenhouse gas emissions, and improving road network reliability and safety, especially in the context of managed motorway systems.","Energy, Environment & Sustainability"
"Social Cohesion, Racism and a Framework for Australia",Monash University,NIPhD Program - Industry Researcher,"$232,288.00",2025,Scanlon Foundation Research Institute,"This research will provide a critical review of Australian anti-racism approaches with the intent of developing a new framework to address social cohesion in a culturally diverse society. By understanding the fears behind perpetrators of discrimination, it will contribute to enhancing anti-racism strategies and fostering more effective responses to combat cultural discrimination.","Energy, Environment & Sustainability"
"Towards Automated, Generalised and Flexible Bone and Joint Measurements",Monash University,NIPhD Program - Industry Researcher,"$232,288.00",2025,CurveBeam AI Ltd,"This collaboration will investigate innovative machine learning and computer vision techniques, alongside the world-leading weight-bearing CT scanners, to automate and standardize bone and joint measurements for improved musculoskeletal disease diagnosis and surgical planning. This will reduce workload for healthcare professionals, enhance diagnostic precision, and improve patient care through reliable data support for clinical decision-making.",Health & Medical Technology
The use of objective technologies to measure carcass composition in pork and estimate its retail value,Murdoch University,NIPhD Program - Industry Linked,"$74,328.00",2025,Craig Mostyn & Co Pty Ltd,"A key profit driver within the pork industry is the amount of saleable meat, which varies due to variation in carcass fatness between carcasses of the same weight. We will compare the predictability of computed tomography (CT) and fat depth (P2) measurements to estimate commercial cut weights and saleable meat yield to establish which trait (P2 or CT) best reflects carcass value.",Agriculture & Food Technology
"Developing Metrics, Analytics, and Guidelines for Successful Business Transformation",Queensland University of Technology,NIPhD Program - Industry Researcher,"$232,288.00",2025,Weir Minerals Australia,"This collaboration will develop a comprehensive set of metrics, analytics, and guidelines to assess and enhance the effectiveness of interconnected business transformation initiatives. Outcomes will include helping achieve transformation objectives more efficiently, reducing costs, and enabling further study into sustainable business transformation in complex environments.","Energy, Environment & Sustainability"
Advanced structural systems for prefabricated residential building envelopes utilising engineered wood products sourced from low-grade forest resources,University of Tasmania,NIPhD Program - Industry Researcher,"$232,288.00",2025,"FH Management Pty Ltd, Trading as Valley Workshop","This project will explore and develop refined structural systems that enhance construction efficiency and resource utilization. It will support Australia’s net-zero targets by increasing carbon sequestration, reducing embodied energy, improving thermal efficiency, and lowering design and construction costs.","Energy, Environment & Sustainability"
AI-powered Design and Optimisation of PolyFeed/PolyGeneration Plant to Convert Coal/Biomass into Sustainable Low-Carbon Fuels,University of Southern Queensland,NIPhD Program - Industry Researcher,"$232,288.00",2025,Verbrec Australia Pty Ltd,"This collaboration will combine advanced chemical engineering with AI and machine learning to improve resource efficiency, reduce environmental impact, and enhance the economic viability of low-carbon fuels.","Energy, Environment & Sustainability"
The Innovative Application of Artificial Intelligence to Project and Portfolio Management Solutions: Enhancing Project Success,University of Southern Queensland,NIPhD Program - Industry Researcher,"$232,288.00",2025,"Sensei Productivity Pty Ltd, trading as Sensei Project Solutions","This research will develop and evaluate proof-of-concept applications to demonstrate how AI can enhance project success in project and portfolio management solutions. This project will address current management shortcomings and improve project outcomes, reduce failure rates, and provide substantial financial benefits across various industry sectors.","Energy, Environment & Sustainability"
Contextual Abnormal Gaze for Driver Monitoring Systems,Queensland University of Technology,NIPhD Program - Industry Linked,"$74,328.00",2025,Seeing Machines Pty Ltd.,"Driver Monitoring Systems are the next frontier in reducing road vehicle crashes on Australian roads.  Such systems aim to detect when drivers are not observing the road as they should. Our research will use novel deep learning techniques for next-gen Driver Monitoring Systems that improve the detection of abnormal eye gaze behaviour in relation to specific diverse driving scenarios. This will enable early warnings for factors like distraction, fatigue or daydreaming.",Health & Medical Technology
Developing a multidisciplinary model of survivorship care for Australian men with prostate cancer on active surveillance,University of Southern Queensland,NIPhD Program - Industry Researcher,"$232,288.00",2025,Prostate Cancer Foundation of Australia (PCFA),"This collaboration will develop a multidisciplinary care model for men undergoing active monitoring for prostate cancer, incorporating psychosocial assessment and survivorship care. By improving adherence to surveillance protocols, it aims to enhance quality of life and reduce health-service costs associated with prostate cancer treatment.",Health & Medical Technology
Development and manufacturing of an indocyanine green nanoformulation towards improved intraoperative fluorescence-guided surgery of pancreatic tumour,University of South Australia,NIPhD Program - Industry Linked,"$74,328.00",2025,Ferranova,"While surgeons are increasingly using fluorescent agents and surgical cameras for guidance during solid tumour removal, currently there are no agents clinically approved for pancreatic cancer. This collaboration will explore fluorescent agents with high binding specificity to pancreatic tumours to enable surgeons to distinguish tumour tissues more precisely, leading to improved surgery and consequently patient outcomes and survival.",Health & Medical Technology
Patient-specific optimal implant size prediction in Reverse Shoulder Arthroplasty using preoperative planning tools enhanced by numerical analysis & AI,Queensland University of Technology,NIPhD Program - Industry Linked,"$74,328.00",2025,Akunah Medical Technologies (Akunah),"Worldwide, approximately 10% of shoulder replacement procedures require revision which involves removing failed surgical implant components. This research will develop a fast-paced AI-based preoperative planning tool to predict optimal stem length and position for Reverse Shoulder Arthroplasty patients to improve implant choices, reduce failure rates, and enhance patient outcomes.",Health & Medical Technology
Addressing Australia’s healthcare workforce crisis: development of a competent and safe healthcare professions workforce,University of South Australia,NIPhD Program - Industry Researcher,"$232,288.00",2025,"Statewide Clinical Support Services, Central Adelaide Local Health Network",This project will enhance the implementation of Entrustable Professional Activities in healthcare training and provide a structured framework for trainee assessment and development. This will help address the critical shortage of healthcare workers by filling existing research gaps and ensure safe and effective trainee progress.,Health & Medical Technology
Bridging the confidence gap of additive manufactured parts in a maritime environment through material and process qualification,University of South Australia,NIPhD Program - Industry Researcher,"$232,288.00",2025,ASC Pty Ltd,"This collaboration will investigate manufacturing process complexities to enhance the qualification and certification of metal Additive Manufacturing for maritime applications. By generating reliable data on heat transfer, defect detection, and metallography, it will boost industry confidence and adoption of the innovative technology within the supply chain for submarine construction and maintenance.",Advanced Manufacturing & Materials
Dual Attention Alignment for Safer Automated Driving and Enhanced Driver Readiness,Queensland University of Technology,NIPhD Program - Industry Linked,"$74,328.00",2025,Seeing Machines Pty Ltd.,"This project aims to enhance the safety and functionality of automated driving systems (ADS) through dual attention alignment. This involves comparing and aligning the attention of the ADS with that of the human user, and exploring how this process can benefit both, particularly in the context of Australian highways and lane-keeping tasks. This collaboration will advance human-machine interaction and contribute to a safer introduction of ADS in Australia.","Digital Technology, AI, & Data Science"
The use of low carbon composite binders to improve the carbon sink potential of concrete,University of South Australia,NIPhD Program - Industry Researcher,"$232,288.00",2025,Adbri Cement,"This project investigates the carbon sink potential of innovative 'green' concrete that uses low carbon emission clay cement and will address knowledge gaps in the long-term CO2 absorption of alternative binders. By developing accelerated CO2 mineral carbonation curing technology, the project will evaluate whether we can enhance carbon absorption throughout the concrete's lifecycle, supporting Australia's emissions reduction goals.","Energy, Environment & Sustainability"
High-dimensional Transformation of Healthcare Data to Identify Private Health Insurance Members at Risk of Hospitalization from Chronic Diseases,University of Newcastle,NIPhD Program - Industry Linked,"$74,328.00",2025,Honeysuckle Health,"Chronic diseases impose the largest burden on Australia's healthcare system. This collaboration will develop AI models using Hospital Casemix Protocol data to help Private Health Insurances identify at-risk members and target them with Chronic Disease Management Programs effectively, reducing hospitalisations due to chronic diseases.",Health & Medical Technology
AI-empowered microgrid control systems,The Royal Melbourne Institute of Technology (RMIT),NIPhD Program - Industry Linked,"$74,328.00",2025,OpusV Tech Group Pty Ltd,"Recent research shows that microgrids can increase energy efficiency by as much as 60% when properly utilized. This collaboration will develop AI-driven algorithms capable of optimizing microgrid performance by leveraging vast operational data, ensuring grid stability, minimizing costs, and maximizing revenue generation.","Energy, Environment & Sustainability"
Techno-Economic Modelling of Printed Solar to Identify Commercialisation Pathways for Industry,University of Newcastle,NIPhD Program - Industry Researcher,"$232,288.00",2025,Kardinia Energy,"This collaboration will focus on assessing the economic feasibility of Printed Solar, an alternative photovoltaic technology, through a comprehensive analysis spanning the full lifecycle. By identifying cost drivers and market opportunities, this will support Australia’s transition to domestically manufactured solar solutions, reducing import reliance and strengthening local industry.","Energy, Environment & Sustainability"
Recyclable Bio-based Polymers for Sustainable Water and Wastewater Treatment,The University of New South Wales,NIPhD Program - Industry Linked,"$74,328.00",2025,Harrison SPARC,"For decades, the water industry has used flocculants including metal salts and synthetic polymers to aggregate and remove contaminants from water. This collaboration will create novel, sustainable flocculants to enhance contaminant removal, lower dose requirements, toxicity and sludge volumes, leading to more sustainable and improved water treatment processes, and enhanced public health and safety.",Health & Medical Technology
Advancing Keyhole Joint Surgery through 2D-to-3D Video Conversion with High Accuracy and Low Latency,The University of New South Wales,NIPhD Program - Industry Linked,"$74,328.00",2025,CONVERGENCE MEDICAL PTY LTD,"This collaboration will enhance arthroscopy, a keyhole joint surgery performed on over 50 million patients annually, by developing an advanced technique to accurately convert 2D videos into 3D in a robot-assisted arthroscopy. This will allow surgeons to navigate anatomical structures in three dimensions with accuracy and without significant delay.",Health & Medical Technology
Developing a Framework for Assessment Practices in STEM Higher Education,The University of New South Wales,NIPhD Program - Industry Researcher,"$232,288.00",2025,Australian Council for Educational Research,"This project will create a STEM Assessment Framework for higher education in Australia, enhancing assessment practices to accurately measure students' knowledge and skills. By improving assessment relevance and accessibility, especially in a post-pandemic landscape influenced by generative AI, it seeks to boost student engagement, degree attainment, and the quality of STEM graduates.","Energy, Environment & Sustainability"
Application of Integrated Behaviour Models in Cyber-Physical Systems,University of Canberra,NIPhD Program - Industry Researcher,"$232,288.00",2025,Kompozition Pty Ltd,"This collaboration will enhance the resilience of cyber-physical machines through improved cybersecurity practices. By integrating qualitative and quantitative methods, it will support rapid capability development, foster collaboration, and strengthen digital asset management across industry and government.","Energy, Environment & Sustainability"
Leveraging AI to automate Open-Source workflow application development,University of Canberra,NIPhD Program - Industry Linked,"$74,328.00",2025,NetApp Australia Pty Ltd,"This PhD project aims to revolutionise AI code generation by targeting the creation of workflow applications, significantly enhancing developer productivity. While current AI tools are limited in scope, this project focuses on leveraging the ""durable function"" style of workflow execution provided by the Cadence workflow engine, known for its maintainability, scalability, and reliability in stateful applications. The project addresses the time-consuming challenge of porting existing applications to this superior approach by developing an AI-driven platform for automated workflow generation, microservice discovery, and codebase migration. By making this tool open source, the project seeks to foster wider adoption and collaboration, ultimately designing viable automation solutions with practical industry applications. Key components include Cadence, Python, TensorFlow, Apache Cassandra/PostgreSQL, Docker, Kubernetes, and RESTful APIs.","Energy, Environment & Sustainability"
The development and validation of a novel ultrasound-based device that improves visualisation and selection of peripheral vessels to aid in cannulation,The University of Western Australia,NIPhD Program - Industry Researcher,"$232,288.00",2025,VeinTech Pty Ltd,"Intravenous catheter cannulation is essential, with 90% of inpatients requiring one, however, 40-50% of first attempts fail. This collaboration will develop a novel, accurate, ultraportable, easy to use ultrasound device that enables visualisation and selection of veins for cannulation, and providing crucial vein pathway information.",Health & Medical Technology
Why did critical metals form at Gonneville: the key to unlocking a new critical metal deposit and a new critical metal province?,The University of Western Australia,NIPhD Program - Industry Researcher,"$232,288.00",2025,Chalice Mining Limited,"This research will investigate the formation of critical metal deposits to help enhance the discovery potential of more deposits in Western Australia’s underexplored southwest. By refining processing models, it will mitigate financial risks from exploration to mining, supporting a reliable domestic supply of essential metals for Australia’s energy transition.","Energy, Environment & Sustainability"
Development of new drug candidates against brain tumours,The University of Sydney,NIPhD Program - Industry Researcher,"$232,288.00",2025,Syntara Limited,"This collaboration will focus on creating new drug candidates to target chemotherapy resistance in glioblastoma. The development of these inhibitors will lead to new treatment options, offering hope for improved outcomes in glioblastoma and advancing research in cancer therapeutics.",Health & Medical Technology
Development of a novel pharmacological therapy for treating methamphetamine addiction,The University of Sydney,NIPhD Program - Industry Linked,"$74,328.00",2025,Psylo Pty Ltd,"This research will develop a non-hallucinogenic drug inspired by the neural mechanisms of psychedelics for the treat methamphetamine addiction, offering a novel approach for a condition with no approved therapies. Success in this area could establish the first effective treatment, benefiting patients, advancing scientific knowledge, and supporting innovation in biotechnology.",Health & Medical Technology
"Prospective analysis of para swimming- investigating talent identification, talent development and the impact on impairment and performance",The University of Queensland,NIPhD Program - Industry Researcher,"$232,288.00",2025,Swimming Australia,"This collaboration will investigate talent identification and development in para swimmers, especially athletes with high support needs, to build pathways from community participation to high performance. It will strengthen para sport by enhancing inclusive sports participation, addressing knowledge gaps in talent development, and boosting Australia's medal potential in swimming.","Energy, Environment & Sustainability"
Design and manufacturing of next-generation ultra-stable peptide radiotracers for precision diagnosis and therapy,The University of Queensland,NIPhD Program - Industry Linked,"$74,328.00",2025,Telix Pharmaceuticals,Molecular targeted radiation has emerged as a powerful way of providing real-time quantifiable information on tissues previously unachievable through invasive biopsies of small tissue samples. This collaboration will engineer new targeting molecules for accurate localisation of tumours in the body and rapid clearance to lower exposure of the radiation.,Health & Medical Technology
Metabolic modelling of microbial co-cultures for biotherapeutic production,The University of Queensland,NIPhD Program - Industry Linked,"$74,328.00",2025,Sacco System,This research will develop a comprehensive co-culture metabolic model to explain cell growth and associated metabolic behaviour to assist in the treatment of gut-related diseases such as irritable bowel syndrome and Crohn’s disease.,Health & Medical Technology
Targeted Alpha Therapies and Biological Responses: Improving Prognostic Power and Regimen Design,The University of Queensland,NIPhD Program - Industry Researcher,"$232,288.00",2025,Advancell Isotopes Pty Ltd,"Targeted alpha-therapies (TATs) offer precise, localised cancer treatment by delivering potent radiotherapeutics with minimal side-effects. This collaboration will advance our understanding of biological responses to TATs, leading to improved dosing strategies and real-time feedback, enhancing patient outcomes and providing new prognostic tools.",Health & Medical Technology
Pilot-Scale All-Iron Flow Battery Test Rig Development,The University of Queensland,NIPhD Program - Industry Researcher,"$232,288.00",2025,Energy Storage Industries Asia Pacific,"This collaboration will develop an all-iron redox flow battery (IRFBs) pilot-scale test rig to show performance and scalability of long-term energy storage. The outcomes include reduced production costs, enhanced energy density, and improved efficiency, along with supporting carbon reduction goals.","Energy, Environment & Sustainability"
AI-assisted Multiscale Simulation Framework for Intentional Design of Dental Restorative Materials (Multiple Application),The University of Melbourne,NIPhD Program - Industry Linked,"$74,328.00",2025,SDI Limited,"Advances in dental restorative materials play a critical role in addressing challenges associated with their clinical application, longevity, and biosafety. This collaboration will develop a chemistry-informed framework for the design and development of new restorative dental products.",Health & Medical Technology
Intelligent Online Control and Energy Management for Vehicle-to-Home Integration,The Royal Melbourne Institute of Technology (RMIT),NIPhD Program - Industry Linked,"$74,328.00",2025,ADL Building Services (Applied Solar Energy trade mark),"The uptake of Electric Vehicles (EVs) is ramping up in Australia. EVs can be connected to homes through vehicle-to-home capability where their batteries can be discharged back to home when needed. We will look to optimise the interaction between EVs and home energy systems, such as solar panels and battery storage, to significantly improve energy efficiency and grid stability.","Energy, Environment & Sustainability"
AI-assisted Multiscale Simulation Framework for Intentional Design of Dental Restorative Materials (Multiple Application),The University of Melbourne,NIPhD Program - Industry Linked,"$74,328.00",2025,SDI Limited,"This collaboration will develop a chemistry-informed framework for the design and development of new restorative dental products. The research will address challenges associated with clinical application, longevity, and biosafety of dental restorative materials.",Health & Medical Technology
AI-assisted Multiscale Simulation Framework for Intentional Design of Dental Restorative Materials (Multiple Application),The University of Melbourne,NIPhD Program - Industry Linked,"$74,328.00",2025,SDI Limited,"Advances in dental restorative materials play a critical role in addressing challenges associated with their clinical application, longevity, and biosafety. A chemistry-informed framework for the design and development of new restorative dental products based on glass reinforced resin composites. This collaboration will look at Machine Learning-accelerated experimental studies of filling material/tissue interactions and pulpal responses.",Health & Medical Technology
Advancing Signal Modelling with Physics-Informed Neural Networks,The University of Adelaide,NIPhD Program - Industry Linked,"$74,328.00",2025,"Advanced Systems and Technologies (AST), Lockheed Martin Australia","This collaboration will develop Physics Informed Neural Networks for more efficient modelling in areas such as weather prediction, signal tracking, fluid dynamics, and space exploration.","Energy, Environment & Sustainability"
Unified approach for price prediction and battery operation in the Australian National Electricity Market,The University of Adelaide,NIPhD Program - Industry Linked,"$74,328.00",2025,OptiGrid Pty Ltd,"This collaboration aims to develop a unified model that combines market forecast and operation optimisation of grid-connected batteries in a single framework using end-to-end learning. This research can improve the economics of large-scale batteries in the Australian grid by enabling them to maximise their revenue. Efficient battery operation also helps stabilise the grid, facilitate more renewables, and accelerate Australia's progress toward achieving fully renewable power grid.","Energy, Environment & Sustainability"
"Reinforcement learning for accurate, online price prediction in the Australian National Electricity Market",The University of Adelaide,NIPhD Program - Industry Linked,"$74,328.00",2025,OptiGrid Pty Ltd,"This collaboration aims to develop an AI-driven model of the bidding behaviour of generators and storage assets in the Australian National Electricity Market. This model will be used to increase market transparency and improve electricity price prediction, thereby enhancing resource allocation and contributing to a more efficient electricity market that delivers lower prices for consumers.","Energy, Environment & Sustainability"
Use of instrumentation to characterise plant-based meat analogues (PBMA) and develop flavour improvements to drive purchase intent,The University of Adelaide,NIPhD Program - Industry Researcher,"$232,288.00",2025,v2food,"This collaboration will investigate the flavour, taste, and colour attributes of plant-based meat analogues (PBMAs) primarily made from soy to address issues like taste, off-flavours, and colour discrepancies and produce more attractive PBMAs that meet consumer demands while ensuring a cost-effective and efficient supply chain.","Energy, Environment & Sustainability"
Femtosecond laser application in dentistry,The Australian National University,NIPhD Program - Industry Linked,"$74,328.00",2025,Dentroid Pty Ltd,"This collaboration will investigate femtosecond laser-driven repair options in dental settings and characterise hard and soft tissue removal, leading to minimally interventional procedures with greater precision and outcomes.",Health & Medical Technology
Nanowire breath sensors for metabolic health diagnosis and monitoring of animals,The Australian National University,NIPhD Program - Industry Linked,"$74,328.00",2025,Agscent Pty Ltd,"This collaboration will develop sensors for diagnosing and monitoring metabolic health in livestock and other animals, reducing related costs, improving animal welfare, and making significant contributions to Australia’s agriculture industry and the growing pet care market.",Health & Medical Technology
Techno-Economic and Optimisation of a Zero-Emission Power Production System Using fuel cells and green ammonia,The Australian National University,NIPhD Program - Industry Linked,"$74,328.00",2025,Cavendish Renewable Technology,"Australia's favourable solar radiation makes it an ideal location for producing hydrogen as a renewable energy carrier. Converting hydrogen to ammonia offers a promising solution for more efficient storage and transport. This research will determine the optimal integration of an ammonia cracking reactor with fuel cells, with a focus on energy conversion and seeks to identify the most efficient and cost-effective method to combine these technologies for electricity production.","Energy, Environment & Sustainability"
Unraveling the Genetic Basis and Molecular Mechanisms of Rice Glycemic Index to Develop Low GI Varieties with Enhanced Texture,Swinburne University of Technology,NIPhD Program - Industry Linked,"$74,328.00",2025,Rice Breeding Australia Ltd.,"This collaboration will develop rice varieties with low and ultra-low glycemic index for integration into Australian rice breeding programs. Giving Australians access to healthier varieties of rice, adapted to Australian conditions, that can help mitigate the risk of type II diabetes and related health issues, while meeting consumer preferences.",Health & Medical Technology
Pioneering Studies for the Detection of Paracetamol Misuse in Racing Animals: Improved Integrity and Animal Welfare,The Australian National University,NIPhD Program - Industry Researcher,"$232,288.00",2025,Racing Analytical Services Ltd,"This research will develop new methods to identify paracetamol misuse in racing animals, and address gaps in doping control within the Australian equine and canine industries. It will enhance industry integrity, improve animal welfare, and establish an integrated platform to monitor emerging substances of concern.","Energy, Environment & Sustainability"
Genetic investigations into mango defence responses to safeguard the future of the Australian mango industry,Queensland University of Technology,NIPhD Program - Industry Researcher,"$207,000.00",2023,"Northern Territory Department of Industry, Tourism and Trade","This project aims to improve mango plant resilience by utilising molecular technologies to explore response to disease at the genetic level. Mango fruit yield and quality can be severely affected by pests and diseases, which impacts the $217 million/year Australian mango industry. This collaborative project between QUT and NT DITT will identify mango varieties with superior immune responses and plant defence activators that can strengthen that response. These outcomes will provide growers with strategies to improve plant health, reduce pesticide use, and improve industry decision-making around selecting varieties suitable for regions with high disease loads.",Health & Medical Technology
Natural enemies of key invertebrate pests of WA grain crops: impacts and monitoring techniques,The University of Western Australia,NIPhD Program - Industry Researcher,"$207,000.00",2023,WA Department of Primary Industries and Regional Development,"The project will develop innovative methods of measuring and enhancing natural enemies of Diamondback moth, a key pest of canola. This will contribute to a reduction in insecticide use in canola, which aligns with the Department's strategic focus on driving sustainability and growth in Australian agriculture. Anticipated outcomes include natural enemy monitoring techniques for growers and agronomists. Additionally, the PhD candidate will gain skills in entomology, adding essential capacity to the State. This knowledge will support farmers to harness the free benefit provided by natural enemies. Additionally, it will contribute to global understanding of biological pest control of Diamondback moth.","Energy, Environment & Sustainability"
